"","X","date","PL","plr"
"1",1,2007-03-30,0,0
"2",2,2007-04-02,0,0
"3",3,2007-04-03,-17399.4012789092,0
"4",4,2007-04-04,0,0
"5",5,2007-04-05,0,0
"6",6,2007-04-10,-130269.062671606,0
"7",7,2007-04-11,0,0
"8",8,2007-04-12,0,0
"9",9,2007-04-13,0,0
"10",10,2007-04-16,0,0
"11",11,2007-04-17,-68611.7567199995,0
"12",12,2007-04-18,0,0
"13",13,2007-04-19,0,0
"14",14,2007-04-20,0,0
"15",15,2007-04-23,0,0
"16",16,2007-04-24,169329.350400001,0
"17",17,2007-04-25,0,0
"18",18,2007-04-26,0,0
"19",19,2007-04-27,0,0
"20",20,2007-04-30,0,0
"21",21,2007-05-02,-46280.272,0
"22",22,2007-05-03,0,0
"23",23,2007-05-04,0,0
"24",24,2007-05-07,0,0
"25",25,2007-05-08,150096.212019999,0
"26",26,2007-05-10,0,0
"27",27,2007-05-11,0,0
"28",28,2007-05-14,0,0
"29",29,2007-05-15,-242819.533940004,0
"30",30,2007-05-16,0,0
"31",31,2007-05-18,0,0
"32",32,2007-05-21,0,0
"33",33,2007-05-22,-10991.7646199984,0
"34",34,2007-05-23,0,0
"35",35,2007-05-24,0,0
"36",36,2007-05-25,0,0
"37",37,2007-05-29,-48746.468768101,0
"38",38,2007-05-30,0,0
"39",39,2007-05-31,0,0
"40",40,2007-06-01,0,0
"41",41,2007-06-04,0,0
"42",42,2007-06-05,214628.813420002,0
"43",43,2007-06-06,0,0
"44",44,2007-06-07,0,0
"45",45,2007-06-08,0,0
"46",46,2007-06-11,0,0
"47",47,2007-06-12,-149264.524629302,0
"48",48,2007-06-13,0,0
"49",49,2007-06-14,0,0
"50",50,2007-06-15,0,0
"51",51,2007-06-18,0,0
"52",52,2007-06-19,-8753.90920796117,0
"53",53,2007-06-20,0,0
"54",54,2007-06-21,0,0
"55",55,2007-06-22,0,0
"56",56,2007-06-25,0,0
"57",57,2007-06-26,-176892.434434742,0
"58",58,2007-06-27,0,0
"59",59,2007-06-28,0,0
"60",60,2007-06-29,0,0
"61",61,2007-07-02,0,0
"62",62,2007-07-03,-59491.93911078,0
"63",63,2007-07-05,0,0
"64",64,2007-07-06,0,0
"65",65,2007-07-09,0,0
"66",66,2007-07-10,458694.698989474,0
"67",67,2007-07-11,0,0
"68",68,2007-07-12,0,0
"69",69,2007-07-13,0,0
"70",70,2007-07-16,0,0
"71",71,2007-07-17,95709.8676999968,0
"72",72,2007-07-18,0,0
"73",73,2007-07-19,0,0
"74",74,2007-07-20,0,0
"75",75,2007-07-23,0,0
"76",76,2007-07-24,202433.058546217,0
"77",77,2007-07-25,0,0
"78",78,2007-07-26,0,0
"79",79,2007-07-27,0,0
"80",80,2007-07-30,0,0
"81",81,2007-07-31,167764.499479996,0
"82",82,2007-08-02,0,0
"83",83,2007-08-03,0,0
"84",84,2007-08-06,0,0
"85",85,2007-08-07,311163.750083964,0
"86",86,2007-08-08,0,0
"87",87,2007-08-09,0,0
"88",88,2007-08-10,0,0
"89",89,2007-08-13,0,0
"90",90,2007-08-14,-471514.789150075,0
"91",91,2007-08-15,0,0
"92",92,2007-08-16,0,0
"93",93,2007-08-17,0,0
"94",94,2007-08-20,0,0
"95",95,2007-08-21,-160173.984107154,0
"96",96,2007-08-22,0,0
"97",97,2007-08-23,0,0
"98",98,2007-08-24,0,0
"99",99,2007-08-27,0,0
"100",100,2007-08-28,286525.833626922,0
"101",101,2007-08-29,0,0
"102",102,2007-08-30,0,0
"103",103,2007-08-31,0,0
"104",104,2007-09-04,-132493.223569452,0
"105",105,2007-09-05,0,0
"106",106,2007-09-06,0,0
"107",107,2007-09-07,0,0
"108",108,2007-09-10,0,0
"109",109,2007-09-11,357321.613204444,0
"110",110,2007-09-12,0,0
"111",111,2007-09-13,0,0
"112",112,2007-09-14,0,0
"113",113,2007-09-17,0,0
"114",114,2007-09-18,437864.231210208,0
"115",115,2007-09-19,0,0
"116",116,2007-09-20,0,0
"117",117,2007-09-21,0,0
"118",118,2007-09-24,0,0
"119",119,2007-09-25,114809.792299997,0
"120",120,2007-09-26,0,0
"121",121,2007-09-27,0,0
"122",122,2007-09-28,0,0
"123",123,2007-10-01,0,0
"124",124,2007-10-02,-31624.4481199998,0
"125",125,2007-10-03,0,0
"126",126,2007-10-04,0,0
"127",127,2007-10-05,0,0
"128",128,2007-10-08,0,0
"129",129,2007-10-09,-173030.712799998,0
"130",130,2007-10-10,0,0
"131",131,2007-10-11,0,0
"132",132,2007-10-12,0,0
"133",133,2007-10-15,0,0
"134",134,2007-10-16,35141.0549251802,0
"135",135,2007-10-17,0,0
"136",136,2007-10-18,0,0
"137",137,2007-10-19,0,0
"138",138,2007-10-22,0,0
"139",139,2007-10-23,83910.8465679342,0
"140",140,2007-10-24,0,0
"141",141,2007-10-25,0,0
"142",142,2007-10-26,0,0
"143",143,2007-10-29,0,0
"144",144,2007-10-30,101895.466642975,0
"145",145,2007-10-31,0,0
"146",146,2007-11-01,0,0
"147",147,2007-11-02,0,0
"148",148,2007-11-05,0,0
"149",149,2007-11-06,148283.96503963,0
"150",150,2007-11-07,0,0
"151",151,2007-11-08,0,0
"152",152,2007-11-09,0,0
"153",153,2007-11-12,0,0
"154",154,2007-11-13,416515.687740002,0
"155",155,2007-11-14,0,0
"156",156,2007-11-15,0,0
"157",157,2007-11-16,0,0
"158",158,2007-11-19,0,0
"159",159,2007-11-20,281850.553955187,0
"160",160,2007-11-21,0,0
"161",161,2007-11-23,0,0
"162",162,2007-11-26,0,0
"163",163,2007-11-27,126252.6676366,0
"164",164,2007-11-28,0,0
"165",165,2007-11-29,0,0
"166",166,2007-11-30,0,0
"167",167,2007-12-03,0,0
"168",168,2007-12-04,214193.372433109,0
"169",169,2007-12-05,0,0
"170",170,2007-12-06,0,0
"171",171,2007-12-07,0,0
"172",172,2007-12-10,0,0
"173",173,2007-12-11,425656.626099997,0
"174",174,2007-12-12,0,0
"175",175,2007-12-13,0,0
"176",176,2007-12-14,0,0
"177",177,2007-12-17,0,0
"178",178,2007-12-18,23441.9028116916,0
"179",179,2007-12-19,0,0
"180",180,2007-12-20,0,0
"181",181,2007-12-21,0,0
"182",182,2007-12-24,0,0
"183",183,2007-12-27,-40120.1160000001,0
"184",184,2007-12-28,0,0
"185",185,2007-12-31,0,0
"186",186,2008-01-03,132600.586,0
"187",187,2008-01-04,0,0
"188",188,2008-01-07,0,0
"189",189,2008-01-08,-175552.12956128,0
"190",190,2008-01-09,0,0
"191",191,2008-01-10,0,0
"192",192,2008-01-11,0,0
"193",193,2008-01-14,0,0
"194",194,2008-01-15,-85408.6212992428,0
"195",195,2008-01-16,0,0
"196",196,2008-01-17,0,0
"197",197,2008-01-18,0,0
"198",198,2008-01-22,280827.112191522,0
"199",199,2008-01-23,0,0
"200",200,2008-01-24,0,0
"201",201,2008-01-25,0,0
"202",202,2008-01-28,0,0
"203",203,2008-01-29,213270.95903804,0
"204",204,2008-01-30,0,0
"205",205,2008-01-31,0,0
